cid,都道府県名,市町村名,住居表示実施状況,調査年月日,実施状況公開URL,公開形式,国土地理院住居表示住所デジタルデータURL,MEMO
1423,北海道,南幌町,一部地域で実施,2021/09/30,https://www.town.nanporo.hokkaido.jp/life/house/point/,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/01423.html,
1452,北海道,鷹栖町,一部地域で実施,2021/09/30,https://www.town.takasu.hokkaido.jp/kurashi/jyuutaku_tochi/jyuukyo_hyouji.html,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/01452.html,
1207,北海道,帯広市,一部地域で実施,2021/09/29,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01207.html,
1212,北海道,留萌市,一部地域で実施,2021/09/29,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01212.html,
1214,北海道,稚内市,一部地域で実施,2021/09/29,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01214.html,
1220,北海道,士別市,一部地域で実施,2021/09/29,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01220.html,
1225,北海道,滝川市,一部地域で実施,2021/09/29,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01225.html,
1226,北海道,砂川市,一部地域で実施,2021/09/29,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01226.html,
1438,北海道,沼田町,一部地域で実施,2021/09/30,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01438.html,
1453,北海道,東神楽町,一部地域で実施,2021/09/30,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01453.html,
1454,北海道,当麻町,一部地域で実施,2021/09/30,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01454.html,
1455,北海道,比布町,一部地域で実施,2021/09/30,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01455.html,
1458,北海道,東川町,一部地域で実施,2021/09/30,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01458.html,
1459,北海道,美瑛町,一部地域で実施,2021/09/30,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01459.html,
1460,北海道,上富良野町,一部地域で実施,2021/09/30,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01460.html,
1461,北海道,中富良野町,一部地域で実施,2021/09/30,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01461.html,
1465,北海道,剣淵町,一部地域で実施,2021/09/30,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01465.html,
1564,北海道,大空町,一部地域で実施,2021/09/30,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01564.html,
1578,北海道,白老町,一部地域で実施,2021/09/30,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01578.html,
1601,北海道,日高町,一部地域で実施,2021/09/30,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01601.html,
1607,北海道,浦河町,一部地域で実施,2021/09/30,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01607.html,
1610,北海道,新ひだか町,一部地域で実施,2021/09/30,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01610.html,
1664,北海道,標茶町,一部地域で実施,2021/09/30,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01664.html,
1665,北海道,弟子屈町,一部地域で実施,2021/09/30,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01665.html,
1203,北海道,小樽市,一部地域で実施,2021/12/05,none,none,none,住居表示が実施されているが実施状況が掲載されていない
1205,北海道,室蘭市,全域実施,2021/09/29,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01205.html,
1209,北海道,夕張市,未実施,2021/09/29,none,none,none,
