cid,pref,city,住居表示実施状況(entire/partial/not yet),調査年月日,実施状況公開情報,"公開フォーマット
（PDF、CSVなど）",国土地理院住居表示住所デジタルデータ,MEMO
1228,北海道,深川市,一部地域で実施,2021/09/29,https://www.city.fukagawa.lg.jp/cms/section/shimin/ik75k40000005679-att/ik75k400000056cx.pdf,PDF,https://saigai.gsi.go.jp/jusho/view/pref/city/01228.html,
1229,北海道,富良野市,一部地域で実施,2021/09/29,http://www.city.furano.hokkaido.jp/docs/2013071100072/,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/01229.html,
1230,北海道,登別市,未実施,2021/09/30,none,none,none,
1231,北海道,恵庭市,一部地域で実施,2021/09/30,https://www.city.eniwa.hokkaido.jp/kurashi/kurashi_tetsuzuki/juminhyo_koseki_jukyohyoji/jukyohyoji/3747.html,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/01231.html,
1233,北海道,伊達市,未実施,2021/09/30,none,none,none,
1234,北海道,北広島市,未実施,2021/09/30,none,none,none,
1235,北海道,石狩市,未実施,2021/09/30,none,none,none,
1236,北海道,北斗市,一部地域で実施,2021/09/30,https://www.city.hokuto.hokkaido.jp/docs/1239.html,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/01236.html,
1303,北海道,当別町,未実施,2021/09/30,none,none,none,
1304,北海道,新篠津村,未実施,2021/09/30,none,none,none,
1331,北海道,松前町,未実施,2021/09/30,none,none,none,
1332,北海道,福島町,未実施,2021/09/30,none,none,none,
1333,北海道,知内町,未実施,2021/09/30,none,none,none,
1334,北海道,木古内町,未実施,2021/09/30,none,none,none,
1337,北海道,七飯町,一部地域で実施,2021/09/30,https://www.town.nanae.hokkaido.jp/hotnews/files/00000400/00000468/jissikuikizu.jpg,PDF,https://saigai.gsi.go.jp/jusho/view/pref/city/01337.html,
1343,北海道,鹿部町,未実施,2021/09/30,none,none,none,
1345,北海道,森町,未実施,2021/09/30,none,none,none,
1346,北海道,八雲町,未実施,2021/09/30,none,none,none,
1347,北海道,長万部町,未実施,2021/09/30,none,none,none,
1361,北海道,江差町,未実施,2021/09/30,none,none,none,
1362,北海道,上ノ国町,未実施,2021/09/30,none,none,none,
1363,北海道,厚沢部町,未実施,2021/09/30,none,none,none,
1364,北海道,乙部町,未実施,2021/09/30,none,none,none,
1367,北海道,奥尻町,未実施,2021/09/30,none,none,none,
1370,北海道,今金町,未実施,2021/09/30,none,none,none,
1371,北海道,せたな町,未実施,2021/09/30,none,none,none,
1391,北海道,島牧村,未実施,2021/09/30,none,none,none,
1392,北海道,寿都町,未実施,2021/09/30,none,none,none,
1393,北海道,黒松内町,未実施,2021/09/30,none,none,none,
1394,北海道,蘭越町,未実施,2021/09/30,none,none,none,
1395,北海道,ニセコ町,未実施,2021/09/30,none,none,none,
1396,北海道,真狩村,未実施,2021/09/30,none,none,none,
1397,北海道,留寿都村,未実施,2021/09/30,none,none,none,
1398,北海道,喜茂別町,未実施,2021/09/30,none,none,none,
1399,北海道,京極町,未実施,2021/09/30,none,none,none,
1400,北海道,倶知安町,未実施,2021/09/30,https://www.town.kutchan.hokkaido.jp/town_administration/toshikeikaku/4076/,none,none,2022年10月から実施
1401,北海道,共和町,未実施,2021/09/30,none,none,none,
1402,北海道,岩内町,未実施,2021/09/30,none,none,none,
1403,北海道,泊村,未実施,2021/09/30,none,none,none,
1404,北海道,神恵内村,未実施,2021/09/30,none,none,none,
1405,北海道,積丹町,未実施,2021/09/30,none,none,none,
1406,北海道,古平町,未実施,2021/09/30,none,none,none,
1407,北海道,仁木町,未実施,2021/09/30,none,none,none,
1408,北海道,余市町,未実施,2021/09/30,none,none,none,
1409,北海道,赤井川村,未実施,2021/09/30,none,none,none,
1423,北海道,南幌町,一部地域で実施,2021/09/30,https://www.town.nanporo.hokkaido.jp/life/house/point/,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/01423.html,
1424,北海道,奈井江町,未実施,2021/09/30,none,none,none,
1425,北海道,上砂川町,未実施,2021/09/30,none,none,none,
1427,北海道,由仁町,未実施,2021/09/30,none,none,none,
1428,北海道,長沼町,一部地域で実施,2021/09/30,https://www.maoi-net.jp/kurashi/tochi_kenchiku/jukyohyoji_todokede.html,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/01428.html,
1429,北海道,栗山町,未実施,2021/09/30,none,none,none,
1430,北海道,月形町,未実施,2021/09/30,none,none,none,
1431,北海道,浦臼町,未実施,2021/09/30,none,none,none,
1432,北海道,新十津川町,未実施,2021/09/30,none,none,none,
1433,北海道,妹背牛町,未実施,2021/09/30,none,none,none,
1434,北海道,秩父別町,未実施,2021/09/30,none,none,none,
1436,北海道,雨竜町,未実施,2021/09/30,none,none,none,
1437,北海道,北竜町,未実施,2021/09/30,none,none,none,
1438,北海道,沼田町,一部地域で実施,2021/09/30,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01438.html,
1452,北海道,鷹栖町,一部地域で実施,2021/09/30,https://www.town.takasu.hokkaido.jp/kurashi/jyuutaku_tochi/jyuukyo_hyouji.html,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/01452.html,
1453,北海道,東神楽町,一部地域で実施,2021/09/30,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01453.html,
1454,北海道,当麻町,一部地域で実施,2021/09/30,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01454.html,
1455,北海道,比布町,一部地域で実施,2021/09/30,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01455.html,
1456,北海道,愛別町,未実施,2021/09/30,none,none,none,
1457,北海道,上川町,未実施,2021/09/30,none,none,none,
1458,北海道,東川町,一部地域で実施,2021/09/30,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01458.html,
1459,北海道,美瑛町,一部地域で実施,2021/09/30,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01459.html,
1460,北海道,上富良野町,一部地域で実施,2021/09/30,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01460.html,
1461,北海道,中富良野町,一部地域で実施,2021/09/30,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01461.html,
1462,北海道,南富良野町,未実施,2021/09/30,none,none,none,
1463,北海道,占冠村,未実施,2021/09/30,none,none,none,
1464,北海道,和寒町,未実施,2021/09/30,none,none,none,
1465,北海道,剣淵町,一部地域で実施,2021/09/30,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01465.html,
1468,北海道,下川町,未実施,2021/09/30,none,none,none,
1469,北海道,美深町,未実施,2021/09/30,none,none,none,
1470,北海道,音威子府村,未実施,2021/09/30,none,none,none,
1471,北海道,中川町,未実施,2021/09/30,none,none,none,
1472,北海道,幌加内町,未実施,2021/09/30,none,none,none,
1481,北海道,増毛町,未実施,2021/09/30,none,none,none,
1482,北海道,小平町,未実施,2021/09/30,none,none,none,
1483,北海道,苫前町,未実施,2021/09/30,none,none,none,
1484,北海道,羽幌町,未実施,2021/09/30,none,none,none,
1485,北海道,初山別村,未実施,2021/09/30,none,none,none,
1486,北海道,遠別町,未実施,2021/09/30,none,none,none,
1487,北海道,天塩町,未実施,2021/09/30,none,none,none,
1511,北海道,猿払村,未実施,2021/09/30,none,none,none,
1512,北海道,浜頓別町,未実施,2021/09/30,none,none,none,
1513,北海道,中頓別町,未実施,2021/09/30,none,none,none,
1514,北海道,枝幸町,未実施,2021/09/30,none,none,none,
1516,北海道,豊富町,未実施,2021/09/30,none,none,none,
1517,北海道,礼文町,未実施,2021/09/30,none,none,none,
1518,北海道,利尻町,未実施,2021/09/30,none,none,none,
1519,北海道,利尻富士町,未実施,2021/09/30,none,none,none,
1520,北海道,幌延町,未実施,2021/09/30,none,none,none,
1543,北海道,美幌町,未実施,2021/09/30,none,none,none,
1544,北海道,津別町,未実施,2021/09/30,none,none,none,
1545,北海道,斜里町,未実施,2021/09/30,none,none,none,
1546,北海道,清里町,未実施,2021/09/30,none,none,none,
1547,北海道,小清水町,一部地域で実施,2021/09/30,https://www.town.koshimizu.hokkaido.jp/hotnews/files/00003400/00003459/20180925113041.pdf,PDF,https://saigai.gsi.go.jp/jusho/view/pref/city/01547.html,
1549,北海道,訓子府町,未実施,2021/09/30,none,none,none,
1550,北海道,置戸町,未実施,2021/09/30,none,none,none,
1552,北海道,佐呂間町,未実施,2021/09/30,none,none,none,
1555,北海道,遠軽町,未実施,2021/09/30,none,none,none,
1559,北海道,湧別町,未実施,2021/09/30,none,none,none,
1560,北海道,滝上町,未実施,2021/09/30,none,none,none,
1561,北海道,興部町,未実施,2021/09/30,none,none,none,
1562,北海道,西興部村,未実施,2021/09/30,none,none,none,
1563,北海道,雄武町,未実施,2021/09/30,none,none,none,
1564,北海道,大空町,一部地域で実施,2021/09/30,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01564.html,
1571,北海道,豊浦町,未実施,2021/09/30,none,none,none,
1575,北海道,壮瞥町,未実施,2021/09/30,none,none,none,
1578,北海道,白老町,一部地域で実施,2021/09/30,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01578.html,
1581,北海道,厚真町,未実施,2021/09/30,none,none,none,
1584,北海道,洞爺湖町,未実施,2021/09/30,none,none,none,
1585,北海道,安平町,未実施,2021/09/30,none,none,none,
1586,北海道,むかわ町,未実施,2021/09/30,none,none,none,
1601,北海道,日高町,一部地域で実施,2021/09/30,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01601.html,
1602,北海道,平取町,未実施,2021/09/30,none,none,none,
1604,北海道,新冠町,未実施,2021/09/30,none,none,none,
1607,北海道,浦河町,一部地域で実施,2021/09/30,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01607.html,
1608,北海道,様似町,未実施,2021/09/30,none,none,none,
1609,北海道,えりも町,未実施,2021/09/30,none,none,none,
1610,北海道,新ひだか町,一部地域で実施,2021/09/30,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01610.html,
1631,北海道,音更町,未実施,2021/09/30,none,none,none,
1632,北海道,士幌町,未実施,2021/09/30,none,none,none,
1633,北海道,上士幌町,未実施,2021/09/30,none,none,none,
1634,北海道,鹿追町,未実施,2021/09/30,none,none,none,
1635,北海道,新得町,未実施,2021/09/30,none,none,none,
1636,北海道,清水町,未実施,2021/09/30,none,none,none,
1637,北海道,芽室町,未実施,2021/09/30,none,none,none,
1638,北海道,中札内村,未実施,2021/09/30,none,none,none,
1639,北海道,更別村,未実施,2021/09/30,none,none,none,
1641,北海道,大樹町,未実施,2021/09/30,none,none,none,
1642,北海道,広尾町,未実施,2021/09/30,none,none,none,
1643,北海道,幕別町,未実施,2021/09/30,none,none,none,
1644,北海道,池田町,未実施,2021/09/30,none,none,none,
1645,北海道,豊頃町,未実施,2021/09/30,none,none,none,
1646,北海道,本別町,未実施,2021/09/30,none,none,none,
